Inflammatory response ,Epithelial-mesenchymal transition,Apoptosis,Cellular senescence,Autophagy,Oxidative stress
,,,,,GADD45A
,,,,,GADD45B
,,,,,GADD45G
,,,,,GAL
,,,,,GAP43
,,,,,GAPDH
,,,,,GBA
,,,,,GCDH
,,,,,GCH1
,,,,,GCLC
,,,,,GCLM
,,,,,GDF15
,,,,,GDNF
,,,,,GFAP
,,,,,GFER
,,,,,GFM1
,,,,,GFM2
,,,,,GGT1
,,,,,GH1
,,,,,GHRL
,,,,,GIGYF2
,,,,,GJA1
,,,,,GLA
,,,,,GLE1
,,,,,GLO1
,,,,,GLRX
,,,,,GLRX2
,,,,,GLS
,,,,,GLS2
,,,,,GLT8D1
,,,,,GLUD1
,,,,,GLUD2
,,,,,GLUL
,,,,,GNAS
,,,,,GP1BA
,,,,,GPT
,,,,,GPX1
,,,,,GPX2
,,,,,GPX3
,,,,,GPX4
,,,,,GPX5
,,,,,GPX7
,,,,,GPX8
,,,,,GRB2
,,,,,GRIA1
,,,,,GRIN1
,,,,,GRIN2A
,,,,,GRIN2B
,,,,,GRM1
,,,,,GRM5
,,,,,GRN
,,,,,GSK3B
,,,,,GSN
,,,,,GSR
,,,,,GSS
,,,,,GSTA1
,,,,,GSTA2
,,,,,GSTA4
,,,,,GSTM1
,,,,,GSTM2
,,,,,GSTM3
,,,,,GSTM4
,,,,,GSTM5
,,,,,GSTO1
,,,,,GSTO2
,,,,,GSTP1
,,,,,GSTT1
,,,,,GTPBP3
,,,,,GYG1
,,,,,GZMB
,,,,,H19
,,,,,H2AC18
,,,,,H2AX
,,,,,H2BC21
,,,,,H3C14
,,,,,H4-16
,,,,,H6PD
,,,,,HADH
,,,,,HADHA
,,,,,HADHB
,,,,,HAMP
,,,,,HAO1
,,,,,HBA1
,,,,,HBB
,,,,,HBEGF
,,,,,HBG2
,,,,,HCRT
,,,,,HDAC1
,,,,,HDAC2
,,,,,HDAC9
,,,,,HERPUD1
,,,,,HFE
,,,,,HGF
,,,,,HIF1A
,,,,,HK1
,,,,,HK2
,,,,,HLA-A
,,,,,HLA-B
,,,,,HLA-DRA
,,,,,HLA-DRB1
,,,,,HMGB1
,,,,,HMGCL
,,,,,HMGCR
,,,,,HMOX1
,,,,,HMOX2
,,,,,HNF1A
,,,,,HNF4A
,,,,,HNRNPA1
,,,,,HP
,,,,,HPRT1
,,,,,HPSE
,,,,,HPX
,,,,,HRAS
,,,,,HRH1
,,,,,HRH2
,,,,,HSD17B10
,,,,,HSD17B4
,,,,,HSF1
,,,,,HSP90AA1
,,,,,HSP90AB1
,,,,,HSP90B1
,,,,,HSPA14
,,,,,HSPA1A
,,,,,HSPA1B
,,,,,HSPA4
,,,,,HSPA5
,,,,,HSPA6
,,,,,HSPA8
,,,,,HSPA9
,,,,,HSPB1
,,,,,HSPB2
,,,,,HSPD1
,,,,,HSPG2
,,,,,HTR1A
,,,,,HTR2A
,,,,,HTR2C
,,,,,HTR3A
,,,,,HTRA2
,,,,,HTT
,,,,,HYOU1
,,,,,IAPP
,,,,,ICAM1
,,,,,IDH1
,,,,,IDH2
,,,,,IDO1
,,,,,IFNA1
,,,,,IFNAR1
,,,,,IFNB1
,,,,,IFNG
,,,,,IGF1
,,,,,IGF1R
,,,,,IGF2
,,,,,IGF2BP1
,,,,,IGF2BP2
,,,,,IGF2R
,,,,,IKBKB
,,,,,IKBKG
,,,,,IL10
,,,,,IL11
,,,,,IL12B
,,,,,IL13
,,,,,IL15
,,,,,IL16
,,,,,IL17A
,,,,,IL18
,,,,,IL1A
,,,,,IL1B
,,,,,IL1R1
,,,,,IL1RAPL2
,,,,,IL1RN
,,,,,IL2
