"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,7.22309943289701,0.852,0.012,0,"7","MS4A1"
0,6.7600550351008,0.809,0.022,0,"7","BANK1"
0,6.73426371983105,0.454,0.006,0,"7","LINC00926"
0,6.7320393719662,0.704,0.011,0,"7","TNFRSF13C"
0,6.62034882031055,0.261,0.003,0,"7","NIBAN3"
0,6.43898749006361,0.347,0.004,0,"7","TNFRSF13B"
0,6.15547339653909,0.339,0.007,0,"7","CD22"
0,5.52481017347122,0.312,0.012,0,"7","CD70"
0,5.43181114912101,0.351,0.009,0,"7","CXCR5"
0,5.36731450128752,0.505,0.02,0,"7","SPIB"
0,4.77209955113184,0.62,0.044,0,"7","LY9"
0,4.7105369909637,0.466,0.036,0,"7","CD79B"
0,4.70482408002686,0.71,0.055,0,"7","RALGPS2"
0,4.69671482035271,0.318,0.015,0,"7","SEMA7A"
0,4.41006062218944,0.279,0.014,0,"7","RUBCNL"
0,4.36020278034165,0.366,0.027,0,"7","BCL11A"
0,12.3819864676022,0.977,0.002,0,"8","CPA3"
0,12.1869338375837,0.982,0.002,0,"8","TPSAB1"
0,11.8783041998708,0.4,0,0,"8","GCSAML"
0,11.8623757690641,0.995,0.004,0,"8","TPSB2"
0,11.7207166728983,0.823,0.001,0,"8","MS4A2"
0,11.4973716726737,0.795,0.001,0,"8","CTSG"
0,11.2371720882028,0.341,0.001,0,"8","ADCYAP1"
0,10.5137950609429,0.264,0,0,"8","CMA1"
0,10.4414511758454,0.282,0,0,"8","AL157895.1"
0,9.72996137824883,0.455,0.001,0,"8","HDC"
0,8.55230681496501,0.45,0.003,0,"8","SLC18A2"
0,7.85145561608315,0.295,0.003,0,"8","SIGLEC6"
0,7.8193322761198,0.555,0.005,0,"8","IL1RL1"
0,7.50704491572513,0.641,0.017,0,"8","RHEX"
0,7.2848421612694,0.677,0.016,0,"8","HPGDS"
0,6.96105084973578,0.359,0.01,0,"8","RGS13"
0,6.77970687782837,0.318,0.008,0,"8","RAB27B"
0,6.77575762128621,0.573,0.017,0,"8","KIT"
2.90249214441315e-308,5.96389157043632,0.441,0.024,8.04193498452551e-304,"8","VWA5A"
2.72650606211224e-310,5.42079772200762,0.659,0.059,7.55433034629439e-306,"8","GATA2"
7.37412959111734e-16,2.55565433690212,0.415,0.196,2.04315008581088e-11,"9","STMN1"
4.89244305594712e-10,2.30866655951011,0.462,0.282,1.35554919751127e-05,"9","HMGB2"
5.85521433347691e-45,2.08796186958841,0.263,0.041,1.62230423537645e-40,"9","FGFBP2"
5.3932818492533e-35,1.99711953377014,0.269,0.052,1.49431660197261e-30,"9","GZMB"
2.6499938286381e-46,1.82434164577557,0.474,0.118,7.34233790100757e-42,"9","NKG7"
1.65788892021634e-15,1.77122122042712,0.275,0.098,4.59351283124342e-11,"9","CKS1B"
1.30828989870607e-47,1.71710529533712,0.509,0.124,3.62487882234491e-43,"9","GZMA"
7.20852601111139e-46,1.70445050260221,0.38,0.076,1.99726630189863e-41,"9","SAMD3"
