Supplementary Table 5. Differentially expressed genes between early DKD patients and controls (n = 390 DEGs),,,,,,
id,logFC,AveExpr,t,P.Value,adj.P.Val,B
SNORA79B,-0.617220886,5.270503424,-3.937474455,0.000389325,0.011484456,-0.037154484
MIR4659B,-0.968322722,1.500637171,-3.934611662,0.000392514,0.011529204,-0.044795357
RPL35,0.682907261,8.831676775,3.934548134,0.000392585,0.011529204,-0.044964893
MIR29B1,1.257522809,1.52327286,3.932946309,0.000394381,0.011534289,-0.049239341
MIR1185-1,0.974660299,0.573186603,3.919966101,0.000409234,0.011792475,-0.083854456
RAC3,0.824038853,3.060452827,3.916103584,0.000413758,0.011860645,-0.094147131
MIR196B,0.752215468,2.545010823,3.916098676,0.000413764,0.011860645,-0.094160206
C16orf95-DT,0.678038227,1.897028819,3.901846313,0.000430883,0.012173099,-0.132108322
UQCC2,0.591315496,4.323876452,3.897776836,0.000435896,0.012276766,-0.14293465
EVI2B,-0.62967647,2.179503975,-3.893708688,0.000440965,0.012360425,-0.153753422
MIR99A,1.418899016,2.167873533,3.891751916,0.000443423,0.012412218,-0.158955796
SLC38A2,-0.632579478,4.849901914,-3.884420585,0.000452753,0.012545237,-0.178438931
L3MBTL4-AS1,-0.624569992,1.563264264,-3.882705317,0.000454963,0.012555701,-0.182995382
MIR204,1.203592553,3.131824814,3.881284746,0.000456802,0.0125811,-0.186768449
MIR612,-0.954701159,9.190209169,-3.873990578,0.000466357,0.012767268,-0.206134089
NR0B2,-0.858658914,2.054753404,-3.873197129,0.000467408,0.012780955,-0.208239862
NRARP,-0.78942482,2.265084902,-3.87290939,0.000467789,0.012780955,-0.20900347
PIM1,-0.711619067,4.184714969,-3.870682924,0.000470753,0.01283634,-0.214911403
MIR616,-0.957062553,3.478847709,-3.868720215,0.000473381,0.012882362,-0.220118439
MIR20B,1.136770178,0.444770709,3.866212203,0.00047676,0.01294963,-0.22677076
MIR4668,-1.05093635,3.512255305,-3.859452946,0.000485984,0.01314699,-0.244691388
H4C4,0.968666886,6.183945066,3.857879254,0.000488156,0.013170878,-0.248862031
