id	logFC	P.Value	adj.P.Val
HAPLN3	1.9233846559338614	8.495310994634524e-10	2.245898832796918e-07
CXCL1	2.857015063251608	8.454981574399532e-10	2.245898832796918e-07
NCKAP1L	2.0511538959794766	9.402490386441077e-10	2.3779618688799976e-07
WFDC2	2.204325125436057	9.290409364649746e-10	2.3779618688799976e-07
FCHO1	2.0677481344870037	9.409998084487885e-10	2.3779618688799976e-07
DEF6	2.051440867508087	9.90560460405646e-10	2.466926224871104e-07
SLC9B2	1.141085295792183	1.052026729069411e-09	2.546201029905459e-07
SPON2	1.5215758229018803	1.0404902644633033e-09	2.546201029905459e-07
EMB	1.5157281327973173	1.077483800739558e-09	2.571594671098412e-07
LINC00861	2.2065458830211524	1.1820313905447436e-09	2.7824695089206677e-07
KIAA0930	0.7218895877715852	1.2412990146351675e-09	2.8200853390307963e-07
P2RY10	2.3708139932331846	1.247244446964272e-09	2.8200853390307963e-07
SP140	2.4924250218125703	1.235941409351469e-09	2.8200853390307963e-07
PTAFR	1.8356766910136173	1.2902895047734558e-09	2.879524006497021e-07
IL2RG	2.640138303240154	1.3289733980936974e-09	2.927830624723346e-07
ZNF831	2.4808130720228254	1.4085500838140074e-09	2.9932393134007005e-07
GRAP2	2.321544228148947	1.4109193690960006e-09	2.9932393134007005e-07
HCLS1	1.5915310090871309	1.3885404313256484e-09	2.9932393134007005e-07
SLC2A3	1.2405238521137019	1.4908299264529412e-09	3.1241977385569927e-07
MROH8	-0.703675697557312	1.6071685168218815e-09	3.2531474758461283e-07
CLEC2B	1.2261540830976267	1.6091569800216532e-09	3.2531474758461283e-07
PTPN6	1.0172500620670846	1.595089730416691e-09	3.2531474758461283e-07
IFI16	1.475432013896338	1.7156416957632006e-09	3.3125378539320045e-07
VIM	1.4090213065106028	1.6990939925481747e-09	3.3125378539320045e-07
CCL4	1.6437751880302782	1.699318994386538e-09	3.3125378539320045e-07
LSP1	2.4186331089538964	1.6731954784885536e-09	3.3125378539320045e-07
IKZF1	2.3473104958860116	1.7549322353472808e-09	3.3139291793634807e-07
LCP2	1.658664050452158	1.7532853752320897e-09	3.3139291793634807e-07
MYO1G	2.3967388145054764	1.8476753540515006e-09	3.4511362265240204e-07
RUNX1	2.038846142846623	1.9482615904616097e-09	3.451435790772402e-07
TRPA1	1.3995023352987666	1.9083350914233833e-09	3.451435790772402e-07
MYBL1	1.6929905592075105	1.918255269293476e-09	3.451435790772402e-07
VAV1	2.1289296320795037	1.946324260260977e-09	3.451435790772402e-07
ANXA2	1.3365280970568367	1.890124435023005e-09	3.451435790772402e-07
VMP1	0.8836470776091119	1.9935539016702406e-09	3.495635739418512e-07
PIK3CG	1.8157052786276928	2.1795582513423575e-09	3.652070391904403e-07
COL6A3	1.9206928824224985	2.1890319504548042e-09	3.652070391904403e-07
AHNAK2	1.7965644743829436	2.1586370942255305e-09	3.652070391904403e-07
PARP15	2.1930746636029452	2.104955475961255e-09	3.652070391904403e-07
CHI3L2	2.6547136863569873	2.165062446286283e-09	3.652070391904403e-07
NFKBIZ	1.7847813964535213	2.439804624360553e-09	3.824792107299311e-07
GMIP	1.6432752427672046	2.416228954014718e-09	3.824792107299311e-07
