Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes
prerank	HALLMARK_PROTEIN_SECRETION	-0.31727005870841485	-0.9460451002556337	0.505720823798627	0.7816390041493776	1.0	8/8	68.36%	ATP6V1B1;SH3GL2;GOLGA4;TPD52;SEC24D;SSPN;CD63;ABCA1
prerank	HALLMARK_APICAL_SURFACE	-0.2655484372580984	-0.9252208618405724	0.5605381165919282	0.7773599585062241	1.0	3/12	6.91%	RHCG;NTNG1;SLC34A3
prerank	HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.3409791366866471	0.9212186513583044	0.5557553956834532	0.6900135869565217	1.0	6/7	52.83%	CCND2;AXIN2;TCF7;TP53;WNT5B;HEY1
prerank	HALLMARK_CHOLESTEROL_HOMEOSTASIS	-0.20444381662309336	-0.8753208727576502	0.6090225563909775	0.8244630217232121	1.0	6/20	23.39%	ATF3;ERRFI1;LPL;SEMA3B;AVPR1A;LDLR
prerank	HALLMARK_NOTCH_SIGNALING	-0.25905088062622306	-0.7560542988703596	0.7676991150442478	0.9794893960350392	1.0	8/8	74.17%	HES1;ST3GAL6;FZD5;RBX1;NOTCH2;LFNG;ARRB1;WNT5A
prerank	HALLMARK_P53_PATHWAY	-0.12584429160416996	-0.738770033588636	0.8535211267605634	0.9501583315134309	1.0	2/55	0.24%	FOS;ATF3
prerank	HALLMARK_HEME_METABOLISM	0.14924631921989356	0.6877888609753658	0.875	1.0	1.0	3/34	5.96%	ACKR1;C3;E2F2
prerank	HALLMARK_ESTROGEN_RESPONSE_EARLY	0.12254225950844204	0.6639550477335533	0.8926905132192846	0.996296875	1.0	18/60	25.00%	FCMR;SYT12;BCL11B;GFRA1;SFN;RET;FHL2;CD44;CBFA2T3;OLFM1;TFF3;XBP1;PTGES;MYOF;TGM2;TPBG;TTC39A;CLIC3
prerank	HALLMARK_HEDGEHOG_SIGNALING	-0.1967898160962899	-0.6477832546021325	0.8614318706697459	1.0	1.0	9/10	65.53%	PLG;VEGFA;HEY2;THY1;HEY1;ACHE;NRP1;NRP2;TLE1
prerank	HALLMARK_ADIPOGENESIS	0.1152974585892679	0.5810417670751279	0.9545454545454546	1.0	1.0	3/46	5.83%	ADIPOQ;C3;FABP4
prerank	HALLMARK_GLYCOLYSIS	-0.1023098080725888	-0.5664748411831154	0.9725274725274725	1.0	1.0	16/44	27.69%	HS6ST2;CTH;VEGFA;PFKFB1;STC2;AK4;NDST3;MIOX;PC;PPFIA4;IRS2;GYS2;PKP2;IDH1;CACNA1H;ALDOB
prerank	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.1754719867323803	0.5400180775509904	0.9530685920577617	1.0	1.0	1/10	4.30%	LSP1
prerank	HALLMARK_ANDROGEN_RESPONSE	-0.10248859655664588	-0.44653990363134266	0.9974811083123426	0.9939315352697096	1.0	8/22	29.86%	HPGD;SORD;NDRG1;TMPRSS2;AZGP1;DNAJB9;MAF;IQGAP2
prerank	HALLMARK_MTORC1_SIGNALING	0.06391889290047324	0.30186605717898507	1.0	1.0	1.0	39/40	89.31%	CORO1A;DAPP1;CFP;ITGB2;BUB1;XBP1;HK2;SLA;TRIB3;FADS2;BCAT1;SLC1A4;SYTL2;TES;IFI30;CCNG1;UCHL5;P4HA1;INSIG1;GCLC;SLC7A5;STARD4;PPP1R15A;QDPR;TFRC;LGMN;STC1;HSPD1;NFIL3;IFRD1;IDH1;LDLR;PSAT1;SORD;AK4;BHLHE40;HSPE1;BTG2;CTH
