ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	log2err
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	4	-0.606344410876133	-1.35726751740416	0.123287671232877	0.286603807151752	0.101030400354682	1308	tags=100%, list=39%, signal=61%	PECR/ACOT2/ACAA1/ACOT4	0.191892240384838
KEGG_WNT_SIGNALING_PATHWAY	KEGG_WNT_SIGNALING_PATHWAY	30	0.319765984597579	1.34694906587709	0.143661971830986	0.313603572655445	0.110548058704825	639	tags=33%, list=19%, signal=27%	MMP7/RAC2/WNT7A/PRKCB/PLCB2/SFRP2/WNT10A/MYC/CCND2/NFATC2	0.135740943810425
KEGG_LIMONENE_AND_PINENE_DEGRADATION	KEGG_LIMONENE_AND_PINENE_DEGRADATION	5	-0.534904805077063	-1.34183392324744	0.148418491484185	0.320083252718905	0.112832203767263	1545	tags=100%, list=47%, signal=53%	ALDH1B1/ECHS1/ALDH2/ALDH3A2/EHHADH	0.179782316298324
KEGG_ETHER_LIPID_METABOLISM	KEGG_ETHER_LIPID_METABOLISM	8	0.48018224988947	1.32794752689993	0.164744645799012	0.35106299521456	0.123752839533849	161	tags=25%, list=5%, signal=24%	PLA2G2D/PLA2G7	0.137250779610133
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	2	0.798713665531331	1.31783681276482	0.0923913043478261	0.24320652173913	0.0857324698661942	20	tags=50%, list=1%, signal=50%	PLA2G2D	0.197822021315103
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	3	-0.655316294330609	-1.30439722448765	0.168591224018476	0.355033283521261	0.125152401602252	576	tags=67%, list=17%, signal=55%	GGT6/GAD1	0.163180127180689
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	1	-0.95653486266224	-1.26250461029937	0.105263157894737	0.258111031002163	0.0909864424246848	146	tags=100%, list=4%, signal=96%	HMGCS2	0.191892240384838
KEGG_PROSTATE_CANCER	KEGG_PROSTATE_CANCER	13	0.384582486213301	1.24054855316073	0.230273752012882	0.473946841372755	0.167070492212175	1552	tags=92%, list=47%, signal=49%	E2F2/PIK3R5/PIK3CG/CDKN1A/PIK3CD/PDGFRA/TCF7/E2F1/CREB5/LEF1/GSTP1/PDGFRB	0.111918316325105
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	14	0.368988076383006	1.23224349971124	0.23950233281493	0.476343528598583	0.167915345853014	561	tags=43%, list=17%, signal=36%	PRKCB/PIK3R5/PLCB2/PIK3CG/DGKA/INPP5D	0.107140237276725
KEGG_GLYCEROLIPID_METABOLISM	KEGG_GLYCEROLIPID_METABOLISM	12	-0.349952402595578	-1.22847973793543	0.246612466124661	0.479822080829504	0.169141566565283	187	tags=25%, list=6%, signal=24%	DGKB/PNPLA3/CEL	0.144630528034484
KEGG_MTOR_SIGNALING_PATHWAY	KEGG_MTOR_SIGNALING_PATHWAY	5	0.522530675216004	1.22169323535821	0.233502538071066	0.473946841372755	0.167070492212175	353	tags=40%, list=11%, signal=36%	PIK3R5/PIK3CG	0.114266502484433
